"HUC4","AreaSqKm"
101,35796.60939522
102,22313.88827622
103,15266.47178864
104,9134.61690746
105,28704.20801188
106,12074.03343416
107,12974.44764358
108,29180.24420054
109,21030.25164528
110,11286.53471246
202,32796.47782794
203,18762.36798708
204,46171.77446419
205,71212.74110696
206,15206.59444808
207,36801.68189375
208,52737.51623529
301,47689.29015099
302,37050.68679376
303,23890.70275976
304,48570.54064357
305,61794.96135844
306,43871.806917
307,53837.604353
308,29470.8937326
309,46072.5500879
310,25242.0464384
311,35024.20546132
312,9506.44240426
313,52814.26677108
314,38637.19755386
315,58930.30652338
316,56490.04994338
317,30993.30627716
318,22502.86449764
401,25423.8520532
402,103230.78884674
403,48216.81796035
404,4882.86843252
405,33490.67619234
406,86999.94157721
407,18012.53931348
408,88760.89869023
409,15663.95024324
410,30746.88709375
411,7871.80308243
412,35274.77382798
413,9233.48233183
414,17434.57166945
415,85256.79914249
501,30381.05682776
502,19106.22563442
503,34686.2845576
504,20848.98970598
505,31281.45086357
506,16866.39384278
507,15095.32770536
508,13899.98475988
509,23054.60529632
510,27638.2529473
511,23916.335571
512,85351.74555902
513,46389.09952396
514,32634.14613276
601,44091.41854919
602,13375.4995633
603,26843.94740708
604,20951.25790504
701,52062.98559876
702,44051.64524198
703,19989.26919084
704,27860.57934198
705,24702.7384689
706,22255.07525984
707,30906.36659801
708,59399.03003602
709,28192.70514218
710,37439.89760112
711,26109.74178472
712,28309.15758554
713,46352.79918976
714,44261.08652098
801,28679.64761854
802,43603.86836326
803,36390.8219896
804,53106.60384376
805,13719.89544302
806,18333.48176428
807,15073.88981496
808,37822.07091894
809,29766.96605706
901,44060.9148057
902,109673.06365227
903,69839.17317885
904,8775.32048922
1002,36339.39853958
1003,51384.8429756
1004,60738.05507282
1005,59849.50221006
1006,34115.80745665
1007,37413.2814029
1008,59270.54627788
1009,48682.32558644
1010,35947.0635563
1011,44635.81130673
1012,62731.80944844
1013,96050.92258395
1014,52031.11842388
1015,37097.44016734
1016,54742.57505254
1017,37999.39623042
1018,80470.18660264
1019,62546.8922276
1020,21245.3270338
1021,39093.51339374
1022,18132.28402566
1023,24258.8415671
1024,35236.414706
1025,64526.10623524
1026,51548.19852636
1027,39533.54062212
1028,28381.69755104
1029,48203.18950302
1030,26797.22236152
1101,57877.787034
1102,64525.54776856
1103,53168.67458244
1104,31139.03370576
1105,18240.28662534
1106,25388.55086412
1107,53855.03013216
1108,32305.89722444
1109,43950.76924932
1110,46502.64632184
1111,40996.60191792
1112,38639.18456212
1113,64017.79229122
1114,71618.72210216
1201,25499.60074938
1202,26022.75452902
1203,46384.92316444
1204,20443.35269388
1205,37558.20350636
1206,40428.27708696
1207,40244.51322122
1208,41643.09589664
1209,73152.12996534
1210,46359.41985272
1211,73344.29106558
1301,19706.57731542
1302,70227.0433699
1303,56332.75560884
1304,84390.27582014
1305,45509.52664354
1306,60946.30244156
1307,53426.50003304
1308,32868.61558857
1309,13665.58191616
1401,25484.36432148
1402,20797.72003664
1403,21676.01006244
1404,53760.88802798
1405,34357.32892639
1406,37701.10217982
1407,35257.27222244
1408,64574.126276
1501,160618.19977332
1502,70044.3074066
1503,53755.05901773
1504,39340.69560254
1505,46548.10881388
1506,34875.12601037
1507,39058.62541368
1508,62257.66198779
1601,19463.47838836
1602,74320.1387454
1603,42677.69184308
1604,74151.97957182
1605,32841.98476864
1606,123564.37893656
1701,114567.44177424
1702,86493.3045393
1703,15926.72477899
1704,92909.7970808
1705,95795.59491017
1706,90764.65290015
1707,77449.22265346
1708,16046.93811185
1709,29698.60240083
1710,65241.26887271
1711,52958.16527174
1712,45142.9494985
1801,67761.32394678
1802,72014.480729
1803,42511.97697294
1804,40985.93844182
1805,13909.77411422
1806,34286.7583041
1807,35863.7387089
1808,11789.36920804
1809,73254.48314846
1810,44251.92887243
