x
Ortalis vetula
Alectoris chukar
Perdix perdix
Phasianus colchicus
Pavo cristatus
Dendragapus canadensis
Dendragapus obscurus
Lagopus lagopus
Lagopus muta
Lagopus leucura
Bonasa umbellus
Centrocercus urophasianus
Tympanuchus phasianellus
Tympanuchus cupido
Tympanuchus pallidicinctus
Meleagris gallopavo
Oreortyx pictus
Callipepla squamata
Callipepla californica
Callipepla gambelii
Colinus virginianus
Cyrtonyx montezumae
Dendrocygna bicolor
Dendrocygna autumnalis
Oxyura jamaicensis
Cygnus olor
Cygnus buccinator
Cygnus columbianus
Anser albifrons
Chen caerulescens
Chen rossii
Chen canagica
Branta canadensis
Branta bernicla
Cairina moschata
Aix sponsa
Anas strepera
Anas penelope
Anas americana
Anas rubripes
Anas platyrhynchos
Anas discors
Anas cyanoptera
Anas clypeata
Anas acuta
Anas crecca
Aythya valisineria
Aythya americana
Aythya collaris
Aythya fuligula
Aythya marila
Aythya affinis
Somateria mollissima
Somateria spectabilis
Histrionicus histrionicus
Clangula hyemalis
Melanitta nigra
Melanitta perspicillata
Melanitta fusca
Bucephala clangula
Bucephala islandica
Bucephala albeola
Lophodytes cucullatus
Mergus serrator
Mergus merganser
Melanerpes lewis
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes uropygialis
Melanerpes carolinus
Melanerpes aurifrons
Sphyrapicus varius
Sphyrapicus nuchalis
Sphyrapicus ruber
Sphyrapicus thyroideus
Picoides nuttallii
Picoides scalaris
Picoides pubescens
Picoides borealis
Picoides villosus
Picoides albolarvatus
Picoides dorsalis
Picoides arcticus
Colaptes auratus
Colaptes chrysoides
Dryocopus pileatus
Trogon elegans
Megaceryle alcyon
Megaceryle torquata
Chloroceryle americana
Coccyzus erythropthalmus
Coccyzus americanus
Coccyzus minor
Crotophaga ani
Crotophaga sulcirostris
Geococcyx californianus
Melopsittacus undulatus
Psittacula krameri
Nandayus nenday
Myiopsitta monachus
Brotogeris chiriri
Amazona viridigenalis
Cypseloides niger
Chaetura pelagica
Chaetura vauxi
Aeronautes saxatalis
Cynanthus latirostris
Amazilia yucatanensis
Amazilia violiceps
Lampornis clemenciae
Eugenes fulgens
Calothorax lucifer
Archilochus colubris
Archilochus alexandri
Calypte anna
Calypte costae
Stellula calliope
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Tyto alba
Otus flammeolus
Megascops kennicottii
Megascops asio
Megascops trichopsis
Bubo virginianus
Bubo scandiaca
Strix occidentalis
Strix varia
Strix nebulosa
Surnia ulula
Glaucidium gnoma
Glaucidium brasilianum
Micrathene whitneyi
Athene cunicularia
Aegolius funereus
Aegolius acadicus
