Seq,AOU,English_Common_Name,French_Common_Name,Latin_Name,ORDER,Family,Genus,Species,Latin_Name_clean,Latin_Name_synonym,Latin_Name_synonym2,Type,AOU1,,,,
6,1770,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygna,autumnalis,Dendrocygna autumnalis,,,species,,,,,
7,1780,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygna,bicolor,Dendrocygna bicolor,,,species,,,,,
11,1710,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,Anser,albifrons,Anser albifrons,,,species,,,,,
14,1760,Emperor Goose,Oie empereur,Chen canagica,Anseriformes,Anatidae,Chen,canagica,Chen canagica,,,species,,,,,
15,1690,Snow Goose,Oie des neiges,Chen caerulescens,Anseriformes,Anatidae,Chen,caerulescens,Chen caerulescens,,,species,,,,,
16,1691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Chen caerulescens (blue form),Anseriformes,Anatidae,Chen,caerulescens (blue form),,,,subspecies,1690,,,,
17,1700,Ross's Goose,Oie de Ross,Chen rossii,Anseriformes,Anatidae,Chen,rossii,Chen rossii,,,species,,,,,
18,1730,Brant,Bernache cravant,Branta bernicla,Anseriformes,Anatidae,Branta,bernicla,Branta bernicla,,,species,,,,,
19,1740,(Black Brant) Brant,Bernache cravant (groupe nigricans),Branta bernicla nigricans,Anseriformes,Anatidae,Branta,bernicla nigricans,Branta bernicla nigricans,,,subspecies,1730,,,,
21,1725,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,Branta,hutchinsii,Branta hutchinsii,,,species,,,,,
22,1720,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,Branta,canadensis,Branta canadensis,,,species,,,,,
23,1782,Mute Swan,Cygne tuberculé,Cygnus olor,Anseriformes,Anatidae,Cygnus,olor,Cygnus olor,,,species,,,,,
24,1810,Trumpeter Swan,Cygne trompette,Cygnus buccinator,Anseriformes,Anatidae,Cygnus,buccinator,Cygnus buccinator,,,species,,,,,
25,1800,Tundra Swan,Cygne siffleur,Cygnus columbianus,Anseriformes,Anatidae,Cygnus,columbianus,Cygnus columbianus,,,species,,,,,
28,10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,Cairina moschata,,,species,,,,,
29,1440,Wood Duck,Canard branchu,Aix sponsa,Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,,,species,,,,,
30,1350,Gadwall,Canard chipeau,Anas strepera,Anseriformes,Anatidae,Anas,strepera,Anas strepera,,,species,,,,,
32,1360,Eurasian Wigeon,Canard siffleur,Anas penelope,Anseriformes,Anatidae,Anas,penelope,Anas penelope,,,species,,,,,
33,1370,American Wigeon,Canard d'Amérique,Anas americana,Anseriformes,Anatidae,Anas,americana,Anas americana,,,species,,,,,
34,1330,American Black Duck,Canard noir,Anas rubripes,Anseriformes,Anatidae,Anas,rubripes,Anas rubripes,,,species,,,,,
35,1320,Mallard,Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,,,species,,,,,
36,1331,(Mexican Duck) Mallard,Canard du Mexique,Anas platyrhynchos diazi,Anseriformes,Anatidae,Anas,platyrhynchos diazi,Anas platyrhynchos diazi,,,subspecies,1320,,,,
37,1340,Mottled Duck,Canard brun,Anas fulvigula,Anseriformes,Anatidae,Anas,fulvigula,Anas fulvigula,,,species,,,,,
38,1326,hybrid Mallard x Black Duck or Mottled Duck,hybride Canard colvert x Canard noir,Anas platyrhynchos x rubripes or fulvigula,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes or fulvigula,,,,hybrid,1320,1330,,,
40,1400,Blue-winged Teal,Sarcelle à ailes bleues,Anas discors,Anseriformes,Anatidae,Anas,discors,Anas discors,,,species,,,,,
41,1410,Cinnamon Teal,Sarcelle cannelle,Anas cyanoptera,Anseriformes,Anatidae,Anas,cyanoptera,Anas cyanoptera,,,species,,,,,
42,1420,Northern Shoveler,Canard souchet,Anas clypeata,Anseriformes,Anatidae,Anas,clypeata,Anas clypeata,,,species,,,,,
44,1430,Northern Pintail,Canard pilet,Anas acuta,Anseriformes,Anatidae,Anas,acuta,Anas acuta,,,species,,,,,
47,1390,Green-winged Teal,Sarcelle d'hiver,Anas crecca,Anseriformes,Anatidae,Anas,crecca,Anas crecca,,,species,,,,,
48,1470,Canvasback,Fuligule à dos blanc,Aythya valisineria,Anseriformes,Anatidae,Aythya,valisineria,Aythya valisineria,,,species,,,,,
49,1460,Redhead,Fuligule à tête rouge,Aythya americana,Anseriformes,Anatidae,Aythya,americana,Aythya americana,,,species,,,,,
51,1500,Ring-necked Duck,Fuligule à collier,Aythya collaris,Anseriformes,Anatidae,Aythya,collaris,Aythya collaris,,,species,,,,,
52,1491,Tufted Duck,Fuligule morillon,Aythya fuligula,Anseriformes,Anatidae,Aythya,fuligula,Aythya fuligula,,,species,,,,,
53,1480,Greater Scaup,Fuligule milouinan,Aythya marila,Anseriformes,Anatidae,Aythya,marila,Aythya marila,,,species,,,,,
54,1490,Lesser Scaup,Petit Fuligule,Aythya affinis,Anseriformes,Anatidae,Aythya,affinis,Aythya affinis,,,species,,,,,
55,1489,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Aythya marila / affinis,Anseriformes,Anatidae,Aythya,marila / affinis,,,,unknown_sp,1480,1490,,,
58,1620,King Eider,Eider à tête grise,Somateria spectabilis,Anseriformes,Anatidae,Somateria,spectabilis,Somateria spectabilis,,,species,,,,,
59,1590,Common Eider,Eider à duvet,Somateria mollissima,Anseriformes,Anatidae,Somateria,mollissima,Somateria mollissima,,,species,,,,,
60,1550,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Anseriformes,Anatidae,Histrionicus,histrionicus,Histrionicus histrionicus,,,species,,,,,
61,1660,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Anseriformes,Anatidae,Melanitta,perspicillata,Melanitta perspicillata,,,species,,,,,
62,1650,White-winged Scoter,Macreuse brune,Melanitta fusca,Anseriformes,Anatidae,Melanitta,fusca,Melanitta fusca,,,species,,,,,
63,1630,Black Scoter,Macreuse à bec jaune,Melanitta americana,Anseriformes,Anatidae,Melanitta,americana,Melanitta americana,Melanitta nigra,,species,,,,,
64,1657,unid. Scoter,unid macreuse sp.,Melanitta perspicillata / fusca / americana,Anseriformes,Anatidae,Melanitta,perspicillata / fusca / americana,,,,unknown_sp,1660,1650,1630,,
65,1540,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Anseriformes,Anatidae,Clangula,hyemalis,Clangula hyemalis,,,species,,,,,
66,1530,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,Bucephala,albeola,Bucephala albeola,,,species,,,,,
67,1510,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Anseriformes,Anatidae,Bucephala,clangula,Bucephala clangula,,,species,,,,,
68,1520,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Anseriformes,Anatidae,Bucephala,islandica,Bucephala islandica,,,species,,,,,
69,1512,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Bucephala clangula / islandica,Anseriformes,Anatidae,Bucephala,clangula / islandica,,,,unknown_sp,1510,1520,,,
71,1310,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Anseriformes,Anatidae,Lophodytes,cucullatus,Lophodytes cucullatus,,,species,,,,,
72,1290,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,Mergus,merganser,Mergus merganser,,,species,,,,,
73,1300,Red-breasted Merganser,Harle huppé,Mergus serrator,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,,,species,,,,,
75,1670,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,,,species,,,,,
76,3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,Ortalis vetula,,,species,,,,,
87,2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,Oreortyx pictus,,,species,,,,,
88,2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,Callipepla squamata,,,species,,,,,
90,2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,Callipepla californica,,,species,,,,,
91,2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,Callipepla gambelii,,,species,,,,,
93,2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,,,species,,,,,
97,2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,Cyrtonyx montezumae,,,species,,,,,
99,2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,Alectoris chukar,,,species,,,,,
102,2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,Perdix perdix,,,species,,,,,
104,3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,Phasianus colchicus,,,species,,,,,
105,3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,Pavo cristatus,,,species,,,,,
106,3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,Bonasa umbellus,,,species,,,,,
107,3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,Centrocercus urophasianus,,,species,,,,,
108,3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,Centrocercus minimus,,,species,,,,,
109,2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,Falcipennis canadensis,Canachites canadensis,Dendragapus canadensis,species,,,,,
110,3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,Lagopus lagopus,,,species,,,,,
111,3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,Lagopus muta,,,species,,,,,
112,3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,Lagopus leucura,,,species,,,,,
113,2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,Dendragapus obscurus,,,species,,,,,
114,2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,Dendragapus fuliginosus,,,species,,,,,
115,2973,unid. Dusky Grouse / Sooty Grouse,unid Tétras sombre / Tétras fuligineux,Dendragapus obscurus / fuliginosus,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus,,,,unknown_sp,2970,2971,,,
116,3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,Tympanuchus phasianellus,,,species,,,,,
117,3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,Tympanuchus cupido,,,species,,,,,
118,3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Tympanuchus pallidicinctus,,,species,,,,,
119,3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,,,species,,,,,
121,110,Red-throated Loon,Plongeon catmarin,Gavia stellata,Gaviiformes,Gaviidae,Gavia,stellata,Gavia stellata,,,species,,,,,
122,90,Arctic Loon,Plongeon arctique,Gavia arctica,Gaviiformes,Gaviidae,Gavia,arctica,Gavia arctica,,,species,,,,,
123,100,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Gaviiformes,Gaviidae,Gavia,pacifica,Gavia pacifica,,,species,,,,,
124,70,Common Loon,Plongeon huard,Gavia immer,Gaviiformes,Gaviidae,Gavia,immer,Gavia immer,,,species,,,,,
125,80,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,Gaviiformes,Gaviidae,Gavia,adamsii,Gavia adamsii,,,species,,,,,
126,77,unid. Loon,plongeon sp.,Gavia sp.,Gaviiformes,Gaviidae,Gavia,sp.,,,,unknown_genus,70,80,90,100,110
127,50,Least Grebe,Grèbe minime,Tachybaptus dominicus,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,Tachybaptus dominicus,,,species,,,,,
128,60,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,,,species,,,,,
129,30,Horned Grebe,Grèbe esclavon,Podiceps auritus,Podicipediformes,Podicipedidae,Podiceps,auritus,Podiceps auritus,,,species,,,,,
130,20,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Podicipediformes,Podicipedidae,Podiceps,grisegena,Podiceps grisegena,,,species,,,,,
131,40,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Podiceps nigricollis,,,species,,,,,
132,10,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Aechmophorus occidentalis,,,species,,,,,
133,11,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,Aechmophorus clarkii,,,species,,,,,
134,12,unid. Western Grebe / Clark's Grebe,unid Grèbe élégant / Grèbe à face blanche,Aechmophorus occidentalis / clarkii,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii,,,,unknown_sp,10,11,,,
145,860,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,Procellariiformes,Procellariidae,Fulmarus,glacialis,Fulmarus glacialis,,,species,,,,,
167,880,Cory's Shearwater,Puffin cendré,Calonectris diomedea,Procellariiformes,Procellariidae,Calonectris,diomedea,Calonectris diomedea,,,species,,,,,
178,900,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Procellariiformes,Procellariidae,Puffinus,puffinus,Puffinus puffinus,,,species,,,,,
190,1060,Leach's Storm-Petrel,Océanite cul-blanc,Oceanodroma leucorhoa,Procellariiformes,Hydrobatidae,Oceanodroma,leucorhoa,Oceanodroma leucorhoa,,,species,,,,,
202,1880,Wood Stork,Tantale d'Amérique,Mycteria americana,Ciconiiformes,Ciconiidae,Mycteria,americana,Mycteria americana,,,species,,,,,
203,1280,Magnificent Frigatebird,Frégate superbe,Fregata magnificens,Suliformes,Fregatidae,Fregata,magnificens,Fregata magnificens,,,species,,,,,
206,1140,Masked Booby,Fou masqué,Sula dactylatra,Suliformes,Sulidae,Sula,dactylatra,Sula dactylatra,,,species,,,,,
208,1141,Blue-footed Booby,Fou à pieds bleus,Sula nebouxii,Suliformes,Sulidae,Sula,nebouxii,Sula nebouxii,,,species,,,,,
209,1150,Brown Booby,Fou brun,Sula leucogaster,Suliformes,Sulidae,Sula,leucogaster,Sula leucogaster,,,species,,,,,
211,1170,Northern Gannet,Fou de Bassan,Morus bassanus,Suliformes,Sulidae,Morus,bassanus,Morus bassanus,,,species,,,,,
212,1220,Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,Phalacrocorax penicillatus,,,species,,,,,
213,1210,Neotropic Cormorant,Cormoran vigua,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus,Phalacrocorax brasilianus,,,species,,,,,
214,1200,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,Phalacrocorax auritus,,,species,,,,,
215,1190,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,Phalacrocorax carbo,,,species,,,,,
217,1230,Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae,Phalacrocorax,pelagicus,Phalacrocorax pelagicus,,,species,,,,,
218,1205,unid. Neotropic / Double-crested Cormorant,Cormoran vigua / Cormoran à aigrettes,Phalacrocorax brasilianus / auritus,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus / auritus,,,,unknown_sp,1200,1210,,,
219,1206,unid. Double-crested Cormorant / Great Cormorant,Cormoran à aigrettes / Grand Cormoran,Phalacrocorax auritus / carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus / carbo,,,,unknown_sp,1190,1200,,,
220,1207,unid. west coast cormorant,unid Cormoran de la côte ouest,Phalacrocorax sp.,Suliformes,Phalacrocoracidae,Phalacrocorax,sp.,,,,unknown_genus,,,,,
221,1180,Anhinga,Anhinga d'Amérique,Anhinga anhinga,Suliformes,Anhingidae,Anhinga,anhinga,Anhinga anhinga,,,species,,,,,
222,1250,American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,Pelecanus erythrorhynchos,,,species,,,,,
223,1260,Brown Pelican,Pélican brun,Pelecanus occidentalis,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Pelecanus occidentalis,,,species,,,,,
225,1900,American Bittern,Butor d'Amérique,Botaurus lentiginosus,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,,,species,,,,,
227,1910,Least Bittern,Petit Blongios,Ixobrychus exilis,Pelecaniformes,Ardeidae,Ixobrychus,exilis,Ixobrychus exilis,,,species,,,,,
229,1940,Great Blue Heron,Grand Héron,Ardea herodias,Pelecaniformes,Ardeidae,Ardea,herodias,Ardea herodias,,,species,,,,,
230,1920,Great White Heron,Grand Héron (blanche),Ardea herodias occidentalis,Pelecaniformes,Ardeidae,Ardea,herodias occidentalis,Ardea herodias occidentalis,,,species,,,,,
232,1960,Great Egret,Grande Aigrette,Ardea alba,Pelecaniformes,Ardeidae,Ardea,alba,Ardea alba,Egretta alba,Casmerodius albus,species,,,,,
235,1961,Little Egret,Aigrette garzette,Egretta garzetta,Pelecaniformes,Ardeidae,Egretta,garzetta,Egretta garzetta,,,species,,,,,
237,1970,Snowy Egret,Aigrette neigeuse,Egretta thula,Pelecaniformes,Ardeidae,Egretta,thula,Egretta thula,,,species,,,,,
238,2000,Little Blue Heron,Aigrette bleue,Egretta caerulea,Pelecaniformes,Ardeidae,Egretta,caerulea,Egretta caerulea,,,species,,,,,
239,1990,Tricolored Heron,Aigrette tricolore,Egretta tricolor,Pelecaniformes,Ardeidae,Egretta,tricolor,Egretta tricolor,,,species,,,,,
240,1980,Reddish Egret,Aigrette roussâtre,Egretta rufescens,Pelecaniformes,Ardeidae,Egretta,rufescens,Egretta rufescens,,,species,,,,,
241,2001,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Pelecaniformes,Ardeidae,Bubulcus,ibis,Bubulcus ibis,,,species,,,,,
243,2010,Green Heron,Héron vert,Butorides virescens,Pelecaniformes,Ardeidae,Butorides,virescens,Butorides virescens,,,species,,,,,
246,2020,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Nycticorax nycticorax,,,species,,,,,
247,2030,Yellow-crowned Night-Heron,Bihoreau violacé,Nyctanassa violacea,Pelecaniformes,Ardeidae,Nyctanassa,violacea,Nyctanassa violacea,,,species,,,,,
248,2035,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Nycticorax / Nyctanassa nycticorax / violacea,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea,,,,species,,,,,
250,1945,unid. Heron / Egret,unid héron / aigrette sp.,Ardeid sp.,Pelecaniformes,Ardeidae,Ardeid,sp.,,,,species,,,,,
251,1840,White Ibis,Ibis blanc,Eudocimus albus,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,,,species,,,,,
253,1860,Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,Plegadis falcinellus,,,species,,,,,
254,1870,White-faced Ibis,Ibis à face blanche,Plegadis chihi,Pelecaniformes,Threskiornithidae,Plegadis,chihi,Plegadis chihi,,,species,,,,,
255,1861,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Plegadis falcinellus / chihi,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus / chihi,,,,species,,,,,
256,1830,Roseate Spoonbill,Spatule rosée,Platalea ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,Platalea ajaja,,,species,,,,,
257,3260,Black Vulture,Urubu noir,Coragyps atratus,Accipitriformes,Cathartidae,Coragyps,atratus,Coragyps atratus,,,species,,,,,
258,3250,Turkey Vulture,Urubu à tête rouge,Cathartes aura,Accipitriformes,Cathartidae,Cathartes,aura,Cathartes aura,,,species,,,,,
